Pattern(match=(2, 4), count=41, length=2)
Pattern(match=(4, 2), count=40, length=2)
Pattern(match=(4, 6), count=44, length=2)
Pattern(match=(6, 2), count=27, length=2)
Pattern(match=(2, 6), count=28, length=2)
Pattern(match=(6, 4), count=32, length=2)
Pattern(match=(6, 6), count=35, length=2)
Pattern(match=(6, 8), count=20, length=2)
Pattern(match=(8, 4), count=17, length=2)
Pattern(match=(4, 14), count=10, length=2)
Pattern(match=(14, 4), count=15, length=2)
Pattern(match=(2, 10), count=30, length=2)
Pattern(match=(10, 2), count=24, length=2)
Pattern(match=(2, 12), count=11, length=2)
Pattern(match=(12, 12), count=4, length=2)
Pattern(match=(12, 4), count=8, length=2)
Pattern(match=(10, 6), count=11, length=2)
Pattern(match=(10, 14), count=9, length=2)
Pattern(match=(14, 6), count=8, length=2)
Pattern(match=(6, 10), count=13, length=2)
Pattern(match=(8, 6), count=17, length=2)
Pattern(match=(4, 8), count=14, length=2)
Pattern(match=(8, 10), count=8, length=2)
Pattern(match=(4, 12), count=6, length=2)
Pattern(match=(12, 8), count=4, length=2)
Pattern(match=(6, 12), count=14, length=2)
Pattern(match=(12, 2), count=15, length=2)
Pattern(match=(2, 18), count=3, length=2)
Pattern(match=(18, 6), count=4, length=2)
Pattern(match=(12, 10), count=5, length=2)
Pattern(match=(10, 8), count=11, length=2)
Pattern(match=(14, 10), count=4, length=2)
Pattern(match=(10, 12), count=8, length=2)
Pattern(match=(4, 20), count=2, length=2)
Pattern(match=(6, 14), count=4, length=2)
Pattern(match=(6, 18), count=6, length=2)
Pattern(match=(18, 4), count=2, length=2)
Pattern(match=(6, 22), count=4, length=2)
Pattern(match=(22, 2), count=3, length=2)
Pattern(match=(8, 12), count=4, length=2)
Pattern(match=(10, 18), count=2, length=2)
Pattern(match=(18, 2), count=5, length=2)
Pattern(match=(8, 18), count=3, length=2)
Pattern(match=(18, 10), count=2, length=2)
Pattern(match=(12, 6), count=8, length=2)
Pattern(match=(24, 4), count=3, length=2)
Pattern(match=(8, 16), count=3, length=2)
Pattern(match=(16, 14), count=2, length=2)
Pattern(match=(2, 16), count=7, length=2)
Pattern(match=(16, 2), count=7, length=2)
Pattern(match=(2, 22), count=3, length=2)
Pattern(match=(22, 6), count=3, length=2)
Pattern(match=(18, 24), count=2, length=2)
Pattern(match=(22, 12), count=2, length=2)
Pattern(match=(16, 8), count=3, length=2)
Pattern(match=(12, 14), count=3, length=2)
Pattern(match=(4, 18), count=2, length=2)
Pattern(match=(18, 8), count=2, length=2)
Pattern(match=(28, 2), count=2, length=2)
Pattern(match=(6, 20), count=2, length=2)
Pattern(match=(16, 6), count=2, length=2)
Pattern(match=(6, 16), count=3, length=2)
Pattern(match=(30, 10), count=2, length=2)
Pattern(match=(2, 4, 2), count=10, length=3)
Pattern(match=(4, 2, 4), count=20, length=3)
Pattern(match=(2, 4, 6), count=18, length=3)
Pattern(match=(4, 6, 2), count=14, length=3)
Pattern(match=(6, 2, 6), count=13, length=3)
Pattern(match=(2, 6, 4), count=11, length=3)
Pattern(match=(6, 4, 2), count=14, length=3)
Pattern(match=(4, 6, 6), count=10, length=3)
Pattern(match=(6, 6, 2), count=9, length=3)
Pattern(match=(4, 2, 6), count=4, length=3)
Pattern(match=(6, 4, 6), count=10, length=3)
Pattern(match=(4, 6, 8), count=12, length=3)
Pattern(match=(6, 8, 4), count=7, length=3)
Pattern(match=(8, 4, 2), count=5, length=3)
Pattern(match=(2, 4, 14), count=5, length=3)
Pattern(match=(4, 14, 4), count=4, length=3)
Pattern(match=(14, 4, 6), count=7, length=3)
Pattern(match=(6, 2, 10), count=7, length=3)
Pattern(match=(2, 10, 2), count=10, length=3)
Pattern(match=(10, 2, 6), count=4, length=3)
Pattern(match=(2, 6, 6), count=4, length=3)
Pattern(match=(6, 6, 4), count=7, length=3)
Pattern(match=(10, 2, 4), count=8, length=3)
Pattern(match=(4, 2, 12), count=5, length=3)
Pattern(match=(2, 10, 6), count=3, length=3)
Pattern(match=(10, 6, 6), count=5, length=3)
Pattern(match=(6, 6, 6), count=3, length=3)
Pattern(match=(4, 2, 10), count=7, length=3)
Pattern(match=(2, 10, 14), count=8, length=3)
Pattern(match=(10, 14, 4), count=6, length=3)
Pattern(match=(14, 4, 2), count=6, length=3)
Pattern(match=(4, 14, 6), count=3, length=3)
Pattern(match=(14, 6, 10), count=2, length=3)
Pattern(match=(6, 10, 2), count=7, length=3)
Pattern(match=(6, 8, 6), count=7, length=3)
Pattern(match=(8, 6, 6), count=9, length=3)
Pattern(match=(8, 4, 8), count=4, length=3)
Pattern(match=(4, 8, 10), count=3, length=3)
Pattern(match=(10, 2, 10), count=9, length=3)
Pattern(match=(2, 4, 12), count=2, length=3)
Pattern(match=(4, 8, 4), count=3, length=3)
Pattern(match=(8, 4, 6), count=3, length=3)
Pattern(match=(4, 6, 12), count=4, length=3)
Pattern(match=(6, 12, 2), count=3, length=3)
Pattern(match=(12, 2, 18), count=2, length=3)
Pattern(match=(2, 18, 6), count=2, length=3)
Pattern(match=(6, 10, 6), count=3, length=3)
Pattern(match=(2, 6, 10), count=5, length=3)
Pattern(match=(2, 12, 10), count=3, length=3)
Pattern(match=(12, 10, 2), count=3, length=3)
Pattern(match=(6, 2, 12), count=4, length=3)
Pattern(match=(2, 12, 4), count=4, length=3)
Pattern(match=(12, 4, 6), count=4, length=3)
Pattern(match=(6, 8, 10), count=2, length=3)
Pattern(match=(8, 10, 8), count=4, length=3)
